subject,classifier,accuracy,macro_f1,auroc,n_test_windows,n_train_windows,stress_ratio_test
2,RandomForest,0.8571428571428571,0.8057713651498335,0.93890120719389,140,2047,0.29285714285714287
3,RandomForest,0.8450704225352113,0.778125,0.8111904761904762,142,2045,0.29577464788732394
4,RandomForest,0.993006993006993,0.9915128494272657,0.9990435198469632,143,2044,0.2867132867132867
5,RandomForest,0.7534246575342466,0.6741879494173072,0.8729395604395604,146,2041,0.2876712328767123
6,RandomForest,0.8,0.7185596680275751,0.8751709986320109,145,2042,0.296551724137931
7,RandomForest,0.9862068965517241,0.9829971857410882,1.0,145,2042,0.2896551724137931
8,RandomForest,0.958904109589041,0.9518151815181518,0.9964349376114082,146,2041,0.3013698630136986
9,RandomForest,0.8551724137931035,0.8444921096981768,0.9658002735978113,145,2042,0.296551724137931
10,RandomForest,0.9066666666666666,0.8987268518518519,1.0,150,2037,0.31333333333333335
11,RandomForest,0.8979591836734694,0.8888888888888888,0.9664488017429195,147,2040,0.30612244897959184
13,RandomForest,0.8027210884353742,0.7929074568860821,0.9818872987477639,147,2040,0.2925170068027211
14,RandomForest,0.7891156462585034,0.7823054507237377,0.9943355119825708,147,2040,0.30612244897959184
15,RandomForest,0.8571428571428571,0.81524926686217,0.9627096204766107,147,2040,0.29931972789115646
16,RandomForest,0.9455782312925171,0.9387755102040816,0.9989106753812637,147,2040,0.30612244897959184
17,RandomForest,0.96,0.954536269953526,0.9971080355298493,150,2037,0.31333333333333335
2,SVM,0.8714285714285714,0.8425,0.9593495934959351,140,2047,0.29285714285714287
3,SVM,0.8943661971830986,0.8617152502759202,0.8983333333333334,142,2045,0.29577464788732394
4,SVM,0.993006993006993,0.9915128494272657,1.0,143,2044,0.2867132867132867
5,SVM,0.8013698630136986,0.6995245191966504,0.9483745421245421,146,2041,0.2876712328767123
6,SVM,0.9103448275862069,0.8902857808043769,0.945280437756498,145,2042,0.296551724137931
7,SVM,0.903448275862069,0.8706676860346585,0.9937586685159501,145,2042,0.2896551724137931
8,SVM,0.9452054794520548,0.9357535753575357,0.9776069518716577,146,2041,0.3013698630136986
9,SVM,0.903448275862069,0.8931578947368422,0.9792521659826722,145,2042,0.296551724137931
10,SVM,0.96,0.954536269953526,0.9977277422020244,150,2037,0.31333333333333335
11,SVM,0.8571428571428571,0.8480283562250776,0.9697167755991285,147,2040,0.30612244897959184
13,SVM,0.7414965986394558,0.7350094876660342,0.9584078711985689,147,2040,0.2925170068027211
14,SVM,0.8707482993197279,0.8614926853458964,0.9880174291938998,147,2040,0.30612244897959184
15,SVM,0.9047619047619048,0.8778490028490029,0.9750661959399823,147,2040,0.29931972789115646
16,SVM,0.9183673469387755,0.9099264705882353,0.9949891067538126,147,2040,0.30612244897959184
17,SVM,0.9533333333333334,0.9477585949549729,0.9948357777318736,150,2037,0.31333333333333335
2,XGBoost,0.8428571428571429,0.7819314641744548,0.9411185020941117,140,2047,0.29285714285714287
3,XGBoost,0.8732394366197183,0.8223519599666389,0.9178571428571429,142,2045,0.29577464788732394
4,XGBoost,0.986013986013986,0.9829029172644668,0.9992826398852224,143,2044,0.2867132867132867
5,XGBoost,0.773972602739726,0.6196415883792532,0.9427655677655677,146,2041,0.2876712328767123
6,XGBoost,0.8275862068965517,0.7465212222921473,0.9388964888280894,145,2042,0.296551724137931
7,XGBoost,0.9724137931034482,0.9654761904761904,0.9990753582986592,145,2042,0.2896551724137931
8,XGBoost,0.9246575342465754,0.9121972554808375,0.9572192513368983,146,2041,0.3013698630136986
9,XGBoost,0.9103448275862069,0.8982456140350877,0.9651162790697674,145,2042,0.296551724137931
10,XGBoost,0.8933333333333333,0.8851674641148325,0.999793431109275,150,2037,0.31333333333333335
11,XGBoost,0.8775510204081632,0.8682795698924731,0.9886710239651416,147,2040,0.30612244897959184
13,XGBoost,0.7959183673469388,0.7864199922510655,0.9935152057245081,147,2040,0.2925170068027211
14,XGBoost,0.8027210884353742,0.7952941176470588,0.9934640522875817,147,2040,0.30612244897959184
15,XGBoost,0.8027210884353742,0.7000633223105608,0.9457193292144749,147,2040,0.29931972789115646
16,XGBoost,0.9795918367346939,0.9764082811747713,0.9997821350762528,147,2040,0.30612244897959184
17,XGBoost,0.9666666666666667,0.9619115331877508,0.9987605866556497,150,2037,0.31333333333333335
