,Accuracy,Accuracy,F1,F1,AUROC,AUROC,RS,RS
,mean,std,mean,std,mean,std,mean,std
Scenario,,,,,,,,
Full,0.897,0.0941,0.8786,0.1052,0.9481,0.0759,1.0,0.0
No ECG + No EDA,0.7701,0.1263,0.7294,0.1662,0.8387,0.1531,0.8403,0.2124
No ECG + No Respiration,0.7974,0.1231,0.7602,0.1471,0.8868,0.1052,0.8756,0.1933
No ECG + No Temperature,0.7726,0.1585,0.7297,0.1741,0.9034,0.0744,0.8427,0.2308
No EDA + No Respiration,0.8576,0.132,0.8183,0.169,0.9179,0.1176,0.9283,0.1442
No EDA + No Temperature,0.8164,0.1844,0.7716,0.2214,0.8666,0.1617,0.8692,0.1985
No Respiration + No Temperature,0.8647,0.1244,0.828,0.162,0.8919,0.1679,0.9404,0.1304
Only ECG,0.7762,0.2054,0.7315,0.2374,0.8205,0.2476,0.8239,0.2218
Only EDA,0.7639,0.1875,0.7251,0.2076,0.8933,0.0826,0.8326,0.2448
Only Respiration,0.7213,0.1143,0.6281,0.1537,0.7341,0.1587,0.7209,0.1799
Only Temperature,0.7575,0.1639,0.7252,0.1951,0.8114,0.2012,0.8372,0.249
