Subject,Scenario,Accuracy,F1,AUROC,RS
2,Full,0.7571428571428571,0.7277510867078472,0.8026607538802661,1.0
2,No ECG,0.7642857142857142,0.7521326251408338,0.7984725301798472,1.033502579217411
2,No EDA,0.6857142857142857,0.6258503401360545,0.7521557033752156,0.8599785717493537
2,No Respiration,0.6428571428571429,0.5952821461609621,0.7578221236757823,0.8179749326845537
2,No Temperature,0.7214285714285714,0.591286772962048,0.8290219265829022,0.8124849055696673
3,Full,0.8732394366197183,0.8259803921568627,0.9323809523809523,1.0
3,No ECG,0.8450704225352113,0.8140476190476191,0.8842857142857143,0.9855532005086903
3,No EDA,0.8309859154929577,0.7523975588491718,0.9135714285714286,0.9109145519598283
3,No Respiration,0.8943661971830986,0.8617152502759202,0.9342857142857142,1.0432635670996304
3,No Temperature,0.823943661971831,0.739028155553922,0.934047619047619,0.8947284494540065
4,Full,0.9300699300699301,0.9071910695742471,0.9980870396939264,1.0
4,No ECG,0.9790209790209791,0.9748902546093063,0.9997608799617408,1.074625056733452
4,No EDA,0.8111888111888111,0.6961038961038961,0.9959349593495934,0.7673178445535006
4,No Respiration,0.8951048951048951,0.8538131261500715,0.9995217599234816,0.9411612997367508
4,No Temperature,0.8251748251748252,0.7261166015475369,0.9851745576279293,0.8004009584092465
5,Full,0.9178082191780822,0.8950395398993529,0.9663461538461539,1.0
5,No ECG,0.7054794520547946,0.6525156362428738,0.7396978021978021,0.7290355421797892
5,No EDA,0.8835616438356164,0.8386950022746474,0.8747710622710623,0.9370479904932005
5,No Respiration,0.9178082191780822,0.8950395398993529,0.9674908424908425,1.0
5,No Temperature,0.9863013698630136,0.983517724091217,0.9997710622710623,1.0988539391252072
6,Full,0.8896551724137931,0.8711111111111112,0.961468308253534,1.0
6,No ECG,0.8206896551724138,0.7333050367855122,0.8255813953488371,0.8418042514119399
6,No EDA,0.7931034482758621,0.7638949196699957,0.8834929320565434,0.8769201883966786
6,No Respiration,0.8758620689655172,0.8612882653061225,0.9621523027815777,0.9887237739483548
6,No Temperature,0.9448275862068966,0.9370386452453321,0.9913360693114456,1.075682118266325
7,Full,0.993103448275862,0.9915604446772597,0.9997688395746648,1.0
7,No ECG,0.993103448275862,0.9916786226685796,1.0,1.0001191838500159
7,No EDA,0.9862068965517241,0.9832408691631993,0.9979195561719834,0.9916096133536586
7,No Respiration,0.993103448275862,0.9915604446772597,0.9997688395746648,1.0
7,No Temperature,0.993103448275862,0.9915604446772597,0.9993065187239945,1.0
8,Full,0.9931506849315068,0.991918968284718,1.0,1.0
8,No ECG,0.6917808219178082,0.6893176337069087,0.9191176470588236,0.6949334126545794
8,No EDA,0.9794520547945206,0.9751065643648764,1.0,0.9830506276647633
8,No Respiration,0.9931506849315068,0.991918968284718,0.999777183600713,1.0
8,No Temperature,0.9863013698630136,0.9837344028520499,0.9977718360071302,0.9917487560029008
9,Full,0.6620689655172414,0.6311198795493485,0.7512539899680801,1.0
9,No ECG,0.7862068965517242,0.7721628060215926,0.8935248518011856,1.223480405296306
9,No EDA,0.6275862068965518,0.5878947368421052,0.6397628818969447,0.9315104085485183
9,No Respiration,0.6827586206896552,0.6489473684210527,0.7651618787049703,1.0282473892035122
9,No Temperature,0.6275862068965518,0.5916770963704631,0.7093023255813953,0.9375035005915999
10,Full,0.8666666666666667,0.8346560846560847,0.9033257591406735,1.0
10,No ECG,0.7133333333333334,0.507295088228554,0.9884321421193968,0.6077893608570314
10,No EDA,0.8933333333333333,0.873015873015873,0.8777112166907665,1.045958795562599
